"Journal Name","Search URL","Country"
"2011 International Conference on ICT Convergence, ICTC 2011","http://www.scimagojr.com/journalsearch.php?q=2011+International+Conference+on+ICT+Convergence,+ICTC+2011&tip=jou","United States"
"13th IEEE Workshop on Local and Metropolitan AreaNetworks(LANMAN 2004)","http://www.scimagojr.com/journalsearch.php?q=Networks&tip=jou","United States"
"2000IEEE Wireless Communicationsand Networking Conference","http://www.scimagojr.com/journalsearch.php?q=IEEE+Wireless+Communications&tip=jou","United States"
"2002 International Conference on Modeling andSimulationof Microsystems - MSM 2002","http://www.scimagojr.com/journalsearch.php?q=Simulation&tip=jou","United States"
"2004 7th International Conference onSignal ProcessingProceedings, ICSP","http://www.scimagojr.com/journalsearch.php?q=Signal+Processing&tip=jou","United States"
"2004 IEEE 6th Workshop on MultimediaSignal Processing","http://www.scimagojr.com/journalsearch.php?q=Signal+Processing&tip=jou","United States"
"2004 IEEE Conference on Robotics, Automation andMechatronics","http://www.scimagojr.com/journalsearch.php?q=Mechatronics&tip=jou","United States"
"2004 IEEE International Symposium onCluster Computingand the Grid, CCGrid 2004","http://www.scimagojr.com/journalsearch.php?q=Cluster+Computing&tip=jou","United States"
"2005 International Conference onMachine Learningand Cybernetics, ICMLC 2005","http://www.scimagojr.com/journalsearch.php?q=Machine+Learning&tip=jou","United States"
"2011International Conference on ICT Convergence, ICTC 2011","http://www.scimagojr.com/journalsearch.php?q=International+Conference+on+ICT+Convergence&tip=jou","United States"
"3D Research","http://www.scimagojr.com/journalsearch.php?q=3D+Research&tip=jou","South Korea"
"4OR","http://www.scimagojr.com/journalsearch.php?q=4OR&tip=jou","Germany"
"ACM Communications in Computer Algebra","http://www.scimagojr.com/journalsearch.php?q=ACM+Communications+in+Computer+Algebra&tip=jou","United States"
"ACM Computing Surveys","http://www.scimagojr.com/journalsearch.php?q=ACM+Computing+Surveys&tip=jou","United States"
"ACM International Conference on Computer Graphics,Virtual Realityand Visualisation in Africa","http://www.scimagojr.com/journalsearch.php?q=Virtual+Reality&tip=jou","United States"
"ACM Journal on Emerging Technologies in Computing Systems","http://www.scimagojr.com/journalsearch.php?q=ACM+Journal+on+Emerging+Technologies+in+Computing+Systems&tip=jou","United States"
"ACM SIGPLAN Notices","http://www.scimagojr.com/journalsearch.php?q=ACM+SIGPLAN+Notices&tip=jou","United States"
"ACM SIGPLAN/SIGSOFT Workshop on Program Analysis for Software Tools and Engineering","http://www.scimagojr.com/journalsearch.php?q=ACM+SIGPLAN/SIGSOFT+Workshop+on+Program+Analysis+for+Software+Tools+and+Engineering&tip=jou","United States"
"ACM Symposium onVirtual RealitySoftware and Technology, Proceedings, VRST","http://www.scimagojr.com/journalsearch.php?q=Virtual+Reality&tip=jou","United States"
"ACM Transactions on Accessible Computing","http://www.scimagojr.com/journalsearch.php?q=ACM+Transactions+on+Accessible+Computing&tip=jou","United States"
"ACM Transactions on Applied Perception","http://www.scimagojr.com/journalsearch.php?q=ACM+Transactions+on+Applied+Perception&tip=jou","United States"
"ACM Transactions on Asian Language Information Processing","http://www.scimagojr.com/journalsearch.php?q=ACM+Transactions+on+Asian+Language+Information+Processing&tip=jou","United States"
"ACM Transactions on Autonomous and Adaptive Systems","http://www.scimagojr.com/journalsearch.php?q=ACM+Transactions+on+Autonomous+and+Adaptive+Systems&tip=jou","United States"
"ACM Transactions on Computation Theory","http://www.scimagojr.com/journalsearch.php?q=ACM+Transactions+on+Computation+Theory&tip=jou","United States"
"ACM Transactions on Computational Logic","http://www.scimagojr.com/journalsearch.php?q=ACM+Transactions+on+Computational+Logic&tip=jou","United States"
"ACM Transactions on Computer Systems","http://www.scimagojr.com/journalsearch.php?q=ACM+Transactions+on+Computer+Systems&tip=jou","United States"
"ACM Transactions on Computer-Human Interaction","http://www.scimagojr.com/journalsearch.php?q=ACM+Transactions+on+Computer-Human+Interaction&tip=jou","United States"
"ACM Transactions on Computing Education","http://www.scimagojr.com/journalsearch.php?q=ACM+Transactions+on+Computing+Education&tip=jou","United States"
"ACM Transactions on Database Systems","http://www.scimagojr.com/journalsearch.php?q=ACM+Transactions+on+Database+Systems&tip=jou","United States"
"ACM Transactions on Design Automation of Electronic Systems","http://www.scimagojr.com/journalsearch.php?q=ACM+Transactions+on+Design+Automation+of+Electronic+Systems&tip=jou","United States"
"ACM Transactions on Graphics","http://www.scimagojr.com/journalsearch.php?q=ACM+Transactions+on+Graphics&tip=jou","United States"
"ACM Transactions on Information and System Security","http://www.scimagojr.com/journalsearch.php?q=ACM+Transactions+on+Information+and+System+Security&tip=jou","United States"
"ACM Transactions on Information Systems","http://www.scimagojr.com/journalsearch.php?q=ACM+Transactions+on+Information+Systems&tip=jou","United States"
"ACM Transactions on Intelligent Systems and Technology","http://www.scimagojr.com/journalsearch.php?q=ACM+Transactions+on+Intelligent+Systems+and+Technology&tip=jou","United States"
"ACM Transactions on Internet Technology","http://www.scimagojr.com/journalsearch.php?q=ACM+Transactions+on+Internet+Technology&tip=jou","United States"
"ACM Transactions on Knowledge Discovery from Data","http://www.scimagojr.com/journalsearch.php?q=ACM+Transactions+on+Knowledge+Discovery+from+Data&tip=jou","United States"
"ACM Transactions on Management Information Systems","http://www.scimagojr.com/journalsearch.php?q=ACM+Transactions+on+Management+Information+Systems&tip=jou","United States"
